Author,Title ,Organism,Nutrient limitation,Growth Rate (h_1),Oxygen Consumption,Oxygen Consumption Original Units,Carbon Dioxide,Carbon Dioxide Production Original Units,Ethanol Production,Ethanol Production Original Units,"Total Proten Concentration (%, avg)",Oxygen Consumption (mmol gprotein-1 hr-1),Ethanol Production (mmol gprotein-1 hr-1),Glucose Consumption (mmol gprotein-1 hr-1)
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Nitrogen,0.230598496,4.853658537,mmol gDCW-1 h-17,,,5.4,mmol gDCW-1 h-17,,11.03104213,12.27272727,7.974870658
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Nitrogen,0.27033985,4.268292683,mmol gDCW-1 h-18,,,8.24,mmol gDCW-1 h-18,,9.700665188,18.72727273,10.9804139
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Nitrogen,0.290522306,4.243902439,mmol gDCW-1 h-19,,,10.88,mmol gDCW-1 h-19,,9.645232816,24.72727273,13.97117517
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Nitrogen,0.361365414,4.280487805,mmol gDCW-1 h-20,,,14.2,mmol gDCW-1 h-20,,9.728381375,32.27272727,17.75776053
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Carbon,0.060902256,1.341463415,mmol gDCW-1 h-21,,,0,mmol gDCW-1 h-21,,3.048780488,0,0.508130081
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Carbon,0.084960401,1.695121951,mmol gDCW-1 h-22,,,0,mmol gDCW-1 h-22,,3.852549889,0,0.642091648
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Carbon,0.121052632,2.731707317,mmol gDCW-1 h-23,,,0,mmol gDCW-1 h-23,,6.208425721,0,1.03473762
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Carbon,0.140601504,3.609756098,mmol gDCW-1 h-24,,,0,mmol gDCW-1 h-24,,8.203991131,0,1.367331855
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Carbon,0.170175439,4.512195122,mmol gDCW-1 h-25,,,0,mmol gDCW-1 h-25,,10.25498891,0,1.709164819
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Carbon,0.200268672,5.390243902,mmol gDCW-1 h-26,,,0.32,mmol gDCW-1 h-26,,12.25055432,0.727272727,2.405395418
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Carbon,0.225902757,5.658536585,mmol gDCW-1 h-27,,,1.72,mmol gDCW-1 h-27,,12.86031042,3.909090909,4.097930525
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Carbon,0.260074185,5.695121951,mmol gDCW-1 h-28,,,3.44,mmol gDCW-1 h-28,,12.94345898,7.818181818,6.066334072
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Carbon,0.300350877,6.024390244,mmol gDCW-1 h-29,,,6.96,mmol gDCW-1 h-29,,13.69179601,15.81818182,10.19105691
Larson et al. 1995,Metabolic uncoupling in Saccharomyces cerevisiae ,yeast,Carbon,0.351769424,5.170731707,mmol gDCW-1 h-30,,,12.76,mmol gDCW-1 h-30,,11.75166297,29,16.4586105
