,EC number,pathway,Gene name,MW,meta_pathway,MW*Subunit_Stoich,MW*Subunit_Stoich*Pathway_Stoich,pathway_stoich
33,2.6.1.1,mitco_shuttle,GOT1L1,47305,respiration,47023.66666666666,94047.33333333331,2.0
34,2.6.1.1,mitco_shuttle,GOT1,46248,respiration,47023.66666666666,94047.33333333331,2.0
35,2.6.1.1,mitco_shuttle,GOT2,47518,respiration,47023.66666666666,94047.33333333331,2.0
36,2.7.1.1,glycolysis,HK2,102380,fermentation,89020.5,89020.5,1.0
37,2.7.1.1,glycolysis,HK3,99025,fermentation,89020.5,89020.5,1.0
38,2.7.1.1,glycolysis,HK1,102486,fermentation,89020.5,89020.5,1.0
39,2.7.1.1,glycolysis,GCK,52191,fermentation,89020.5,89020.5,1.0
40,2.7.1.11,glycolysis,PFKL,85018,fermentation,85265.66666666667,85265.66666666667,1.0
41,2.7.1.11,glycolysis,PFKM,85183,fermentation,85265.66666666667,85265.66666666667,1.0
42,2.7.1.11,glycolysis,PFKP,85596,fermentation,85265.66666666667,85265.66666666667,1.0
43,2.7.1.4,glycolysis,PKM,57937,fermentation,59883.5,119767.0,2.0
44,2.7.1.4,glycolysis,PKLR,61830,fermentation,59883.5,119767.0,2.0
45,2.7.2.3,glycolysis,PGK1,44615,fermentation,44615.0,89230.0,2.0
46,4.1.2.13,glycolysis,ALDOC,39456,fermentation,39449.66666666666,39449.66666666666,1.0
47,4.1.2.13,glycolysis,ALDOA,39420,fermentation,39449.66666666666,39449.66666666666,1.0
48,4.1.2.13,glycolysis,ALDOB,39473,fermentation,39449.66666666666,39449.66666666666,1.0
49,4.2.1.11,glycolysis,ENO1,47169,fermentation,47141.66666666666,94283.33333333331,2.0
50,4.2.1.11,glycolysis,ENO2,47269,fermentation,47141.66666666666,94283.33333333331,2.0
51,4.2.1.11,glycolysis,ENO3,46987,fermentation,47141.66666666666,94283.33333333331,2.0
52,4.2.1.2,tca,FH,54637,respiration,54637.0,109274.0,2.0
53,4.2.1.3,tca,ACO2,85425,respiration,85425.0,170850.0,2.0
54,5.3.1.1,glycolysis,TPI1,26669,fermentation,26669.0,53338.0,2.0
55,5.3.1.9,glycolysis,GPI,63147,fermentation,63147.0,126294.0,2.0
56,5.4.2.11,glycolysis,BPGM,30005,fermentation,29191.666666666668,58383.333333333336,2.0
57,5.4.2.11,glycolysis,PGAM2,28766,fermentation,29191.666666666668,58383.333333333336,2.0
58,5.4.2.11,glycolysis,PGAM1,28804,fermentation,29191.666666666668,58383.333333333336,2.0
59,6.2.1.5,tca,SUCLA2,50317,respiration,86567.0,173134.0,2.0
60,6.2.1.5,tca,SUCLG1,36250,respiration,86567.0,173134.0,2.0
61,7.1.1.2,etc,NDUFC2,14188,respiration,1034509.0,10345090.0,10.0
62,7.1.1.2,etc,NDUFC1,8734,respiration,1034509.0,10345090.0,10.0
63,7.1.1.2,etc,NDUFB1,6961,respiration,1034509.0,10345090.0,10.0
64,7.1.1.2,etc,NDUFB2,12058,respiration,1034509.0,10345090.0,10.0
65,7.1.1.2,etc,NDUFB3,11402,respiration,1034509.0,10345090.0,10.0
66,7.1.1.2,etc,NDUFB4,15209,respiration,1034509.0,10345090.0,10.0
67,7.1.1.2,etc,NDUFB5,21750,respiration,1034509.0,10345090.0,10.0
68,7.1.1.2,etc,NDUFB6,15489,respiration,1034509.0,10345090.0,10.0
69,7.1.1.2,etc,NDUFB7,16402,respiration,1034509.0,10345090.0,10.0
70,7.1.1.2,etc,NDUFB8,21766,respiration,1034509.0,10345090.0,10.0
71,7.1.1.2,etc,NDUFB9,21831,respiration,1034509.0,10345090.0,10.0
72,7.1.1.2,etc,NDUFB10,20777,respiration,1034509.0,10345090.0,10.0
73,7.1.1.2,etc,NDUFB11,17317,respiration,1034509.0,10345090.0,10.0
74,7.1.1.2,etc,NDUFA1,8072,respiration,1034509.0,10345090.0,10.0
75,7.1.1.2,etc,NDUFA2,10922,respiration,1034509.0,10345090.0,10.0
76,7.1.1.2,etc,NDUFA3,9279,respiration,1034509.0,10345090.0,10.0
77,7.1.1.2,etc,NDUFA4L2,9966,respiration,1034509.0,10345090.0,10.0
78,7.1.1.2,etc,NDUFA5,13459,respiration,1034509.0,10345090.0,10.0
79,7.1.1.2,etc,NDUFA6,15137,respiration,1034509.0,10345090.0,10.0
80,7.1.1.2,etc,NDUFA7,12551,respiration,1034509.0,10345090.0,10.0
81,7.1.1.2,etc,NDUFA8,20105,respiration,1034509.0,10345090.0,10.0
82,7.1.1.2,etc,NDUFA9,42510,respiration,1034509.0,10345090.0,10.0
83,7.1.1.2,etc,NDUFA10,40751,respiration,1034509.0,10345090.0,10.0
84,7.1.1.2,etc,NDUFA11,14852,respiration,1034509.0,10345090.0,10.0
85,7.1.1.2,etc,NDUFA12,17114,respiration,1034509.0,10345090.0,10.0
86,7.1.1.2,etc,NDUFA13,16698,respiration,1034509.0,10345090.0,10.0
87,7.1.1.2,etc,NDUFAB1,17417,respiration,1034509.0,10345090.0,10.0
88,7.1.1.2,etc,MT-ND1,35661,respiration,1034509.0,10345090.0,10.0
89,7.1.1.2,etc,MT-ND2,38961,respiration,1034509.0,10345090.0,10.0
90,7.1.1.2,etc,MT-ND3,13186,respiration,1034509.0,10345090.0,10.0
91,7.1.1.2,etc,MT-ND4,51581,respiration,1034509.0,10345090.0,10.0
92,7.1.1.2,etc,MT-ND4L,10741,respiration,1034509.0,10345090.0,10.0
93,7.1.1.2,etc,MT-ND5,67027,respiration,1034509.0,10345090.0,10.0
94,7.1.1.2,etc,MT-ND6,18622,respiration,1034509.0,10345090.0,10.0
95,7.1.1.2,etc,NDUFS1,79468,respiration,1034509.0,10345090.0,10.0
96,7.1.1.2,etc,NDUFS2,52546,respiration,1034509.0,10345090.0,10.0
97,7.1.1.2,etc,NDUFS3,30242,respiration,1034509.0,10345090.0,10.0
98,7.1.1.2,etc,NDUFS4,20108,respiration,1034509.0,10345090.0,10.0
99,7.1.1.2,etc,NDUFS5,12518,respiration,1034509.0,10345090.0,10.0
100,7.1.1.2,etc,NDUFS6,13712,respiration,1034509.0,10345090.0,10.0
101,7.1.1.2,etc,NDUFS7,23564,respiration,1034509.0,10345090.0,10.0
102,7.1.1.2,etc,NDUFS8,23705,respiration,1034509.0,10345090.0,10.0
103,7.1.1.2,etc,NDUFV1,50817,respiration,1034509.0,10345090.0,10.0
104,7.1.1.2,etc,NDUFV2,27392,respiration,1034509.0,10345090.0,10.0
105,7.1.1.2,etc,NDUFV3,11941,respiration,1034509.0,10345090.0,10.0
106,7.1.1.8,etc,UQCR11,6570,respiration,256950.0,3083400.0,12.0
107,7.1.1.8,etc,UQCR10,7308,respiration,256950.0,3083400.0,12.0
108,7.1.1.8,etc,UQCRQ,9906,respiration,256950.0,3083400.0,12.0
109,7.1.1.8,etc,UQCRB,13530,respiration,256950.0,3083400.0,12.0
110,7.1.1.8,etc,UQCRH,10739,respiration,256950.0,3083400.0,12.0
111,7.1.1.8,etc,UQCRC2,48443,respiration,256950.0,3083400.0,12.0
112,7.1.1.8,etc,UQCRC1,52646,respiration,256950.0,3083400.0,12.0
113,7.1.1.8,etc,UQCRFS1,29668,respiration,256950.0,3083400.0,12.0
114,7.1.1.8,etc,CYC1,35422,respiration,256950.0,3083400.0,12.0
115,7.1.1.8,etc,MT-CYB,42718,respiration,256950.0,3083400.0,12.0
116,7.1.1.9,etc,NDUFA4,9370,respiration,236472.0,1418832.0,6.0
117,7.1.1.9,etc,COX8A,7579,respiration,236472.0,1418832.0,6.0
118,7.1.1.9,etc,COX7C,7246,respiration,236472.0,1418832.0,6.0
119,7.1.1.9,etc,COX7B,9161,respiration,236472.0,1418832.0,6.0
120,7.1.1.9,etc,COX7A2,9396,respiration,236472.0,1418832.0,6.0
121,7.1.1.9,etc,COX6C,8781,respiration,236472.0,1418832.0,6.0
122,7.1.1.9,etc,COX6B1,10192,respiration,236472.0,1418832.0,6.0
123,7.1.1.9,etc,COX6A1,12155,respiration,236472.0,1418832.0,6.0
124,7.1.1.9,etc,COX5B,13696,respiration,236472.0,1418832.0,6.0
125,7.1.1.9,etc,COX5A,16762,respiration,236472.0,1418832.0,6.0
126,7.1.1.9,etc,COX4I1,19577,respiration,236472.0,1418832.0,6.0
127,7.1.1.9,etc,MT-CO3,29951,respiration,236472.0,1418832.0,6.0
128,7.1.1.9,etc,MT-CO2,25565,respiration,236472.0,1418832.0,6.0
129,7.1.1.9,etc,MT-CO1,57041,respiration,236472.0,1418832.0,6.0
130,7.1.2.2,atp,ATP5O,23277,respiration,871148.0,9582628.0,11.0
131,7.1.2.2,atp,ATP5PF,12588,respiration,871148.0,9582628.0,11.0
132,7.1.2.2,atp,ATP5L,11428,respiration,871148.0,9582628.0,11.0
133,7.1.2.2,atp,ATP5MF,10918,respiration,871148.0,9582628.0,11.0
134,7.1.2.2,atp,ATP5I,7933,respiration,871148.0,9582628.0,11.0
135,7.1.2.2,atp,ATP5H,18491,respiration,871148.0,9582628.0,11.0
136,7.1.2.2,atp,MTATP8,7992,respiration,871148.0,9582628.0,11.0
137,7.1.2.2,atp,MTATP6,24817,respiration,871148.0,9582628.0,11.0
138,7.1.2.2,atp,ATP5F1,28909,respiration,871148.0,9582628.0,11.0
139,7.1.2.2,atp,ATP5G3,14693,respiration,871148.0,9582628.0,11.0
140,7.1.2.2,atp,ATP5G2,14637,respiration,871148.0,9582628.0,11.0
141,7.1.2.2,atp,ATP5G1,14277,respiration,871148.0,9582628.0,11.0
142,7.1.2.2,atp,ATPAF2,32772,respiration,871148.0,9582628.0,11.0
143,7.1.2.2,atp,ATP5A1,59751,respiration,871148.0,9582628.0,11.0
144,7.1.2.2,atp,C16orf7,68956,respiration,871148.0,9582628.0,11.0
145,7.1.2.2,atp,ATPAF1,36437,respiration,871148.0,9582628.0,11.0
146,7.1.2.2,atp,ATP5B,56560,respiration,871148.0,9582628.0,11.0
147,7.1.2.2,atp,ATP5C1,32996,respiration,871148.0,9582628.0,11.0
148,7.1.2.2,atp,ATP5D,17490,respiration,871148.0,9582628.0,11.0
149,7.1.2.2,atp,ATP5E,5780,respiration,871148.0,9582628.0,11.0
150,ATPT,atp,SLC25A4,33064,respiration,33451.0,827912.25,24.75
151,ATPT,atp,SLC25A5,32852,respiration,33451.0,827912.25,24.75
152,ATPT,atp,SLC25A6,32866,respiration,33451.0,827912.25,24.75
153,ATPT,atp,SLC25A31,35022,respiration,33451.0,827912.25,24.75
154,GLUT,glycolysis,SLC2A7,55728,fermentation,60583.5,60583.5,1.0
155,GLUT,glycolysis,SLC2A4,54787,fermentation,60583.5,60583.5,1.0
156,GLUT,glycolysis,SLC2A6,54539,fermentation,60583.5,60583.5,1.0
157,GLUT,glycolysis,SLC2A9,58702,fermentation,60583.5,60583.5,1.0
158,GLUT,glycolysis,SLC2A3,53924,fermentation,60583.5,60583.5,1.0
159,LACT,fermentation,SLC16A7,52200,fermentation,53577.5,107155.0,2.0
160,LACT,fermentation,SLC16A8,52319,fermentation,53577.5,107155.0,2.0
161,LACT,fermentation,SLC16A1,53944,fermentation,53577.5,107155.0,2.0
162,LACT,fermentation,SLC16A3,49469,fermentation,53577.5,107155.0,2.0
163,LACT,fermentation,SLC16A2,59511,fermentation,53577.5,107155.0,2.0
164,LACT,fermentation,SLC16A4,54022,fermentation,53577.5,107155.0,2.0
165,PHOSC,atp,SLC25A3,40095,respiration,40095.0,992351.25,24.75
